,near_fid,building,noise,in_vehicle,asleep,no_windows,age,Distance
70,794,0,1,0,0,0,82,5221.273791612612
71,1928,0,0,0,0,0,39,207.60870590816745
72,229,0,0,0,0,0,58,692.5408162292729
73,319,0,0,0,0,0,75,659.1697718876133
74,211,0,0,0,0,0,75,1084.6584834561745
75,112,0,0,0,0,0,59,51.396613741241815
76,2449,1,0,0,0,0,46,334.8648244940862
77,1272,1,0,0,0,0,63,356.49223171168285
78,451,0,0,1,0,0,61,1535.8137726707419
79,281,0,0,0,0,0,53,342.4737904449756
80,1348,1,1,0,0,0,48,157.20439835873643
81,3005,0,0,1,0,0,39,21905.237284965468
82,624,0,0,0,0,0,37,295.0243417157795
83,264,0,0,0,0,0,53,390.8818908617161
84,2862,1,0,0,0,0,52,1293.015677102289
85,3800,0,1,1,0,0,40,22561.809846198514
86,2482,0,0,0,0,0,82,139.56329827128693
87,4053,0,0,0,0,0,28,1392.421716518549
88,1177,0,1,0,0,0,63,42541.00825171609
89,136,0,1,0,0,0,23,707.3205493471171
90,246,1,0,0,0,0,61,138.19864959295464
91,2003,0,0,0,0,0,73,998.2773796049312
92,2847,0,0,0,0,0,65,571.5678541974329
93,56,0,1,0,0,0,66,291.5424183502563
94,2396,0,1,0,0,0,72,376.32948484265273
95,168,0,0,0,0,0,39,352.19955784731735
96,3736,0,0,0,0,0,76,45594.7932568467
97,2644,0,0,0,0,0,38,655.8525861269212
98,3513,1,0,0,0,0,77,184.4858638203371
99,681,0,1,0,0,0,62,209.54060009746323
100,673,0,0,0,0,0,65,945.2494200614482
101,1644,0,0,0,0,0,54,637.5943276540024
102,3925,0,0,0,0,0,28,718.8148194172368
103,1176,0,0,0,0,0,82,31699.479423024346
104,1563,0,0,0,0,0,65,1562.5060272481533
105,449,0,1,1,0,0,70,2271.633847414905
106,170,1,0,0,0,0,35,856.0806132184226
107,2722,0,0,0,0,0,81,1028.9152672660991
108,3394,0,0,0,0,0,72,5356.01017882045
109,671,0,0,0,0,0,65,34417.901735623855
110,2870,0,0,1,0,0,86,2790.110582532792
111,2722,0,0,0,0,0,23,62.090057282662166
112,3437,0,0,0,0,0,20,800.297385303172
113,1801,1,0,0,0,0,43,527.3600351095637
114,3555,0,0,0,0,0,66,187.3692896969269
115,2441,0,1,0,0,0,85,328.72067698867573
116,2286,0,0,0,0,0,66,396.7396222238075
117,2782,0,0,0,0,0,23,2353.7723515545044
118,950,0,1,0,0,0,80,380.12365830532644
119,261,0,0,0,0,0,46,1598.6647929810938
120,42,0,0,0,0,0,82,366.8336186857457
121,299,0,1,0,0,0,62,683.3279044871947
122,2732,0,0,0,0,0,24,817.5035342486457
123,263,0,1,0,0,0,75,554.3592078851057
124,683,1,0,0,0,0,82,1553.7702624302751
125,64,0,0,0,0,0,40,413.86467834773686
126,1001,0,1,1,0,0,73,21200.179649793896
127,2613,0,0,0,0,0,61,606.0849905874708
128,2857,0,0,0,0,0,21,418.2478978568415
129,2811,0,0,0,0,0,54,496.83888348046077
130,3968,0,1,1,0,0,29,32.441378913058216
131,4001,0,0,0,0,0,83,32482.48661758469
132,2421,0,0,0,0,0,34,856.175520353835
133,3769,1,0,0,0,0,61,439.06784913170907
134,2724,0,0,0,0,0,29,563.4180319439942
135,2733,0,1,1,0,0,25,26558.188147317516
136,2733,0,0,0,0,0,32,29725.06018607393
137,336,0,0,0,0,0,51,520.09336475302
138,777,1,0,0,0,0,54,429.72521092782057
139,3850,0,0,0,0,0,44,554.3682297361669
140,2227,0,0,0,0,0,86,36245.36844888833
141,2829,0,0,0,0,0,65,100885.1016830074
142,4096,0,1,0,0,0,47,1421.108107378812
143,3023,0,0,1,0,0,75,714.7680648955569
144,4019,0,1,0,0,0,47,441.97580985151376
145,3996,0,0,0,0,0,54,1704.1886580115522
146,2854,0,0,0,0,0,40,236.3568825990509
147,1833,0,0,0,0,0,18,345.67210400163503
148,676,0,0,0,0,0,27,96.88449907323657
149,3293,0,0,0,0,0,29,369.43235833864395
150,30,1,0,0,0,0,62,159.7320893251923
151,1465,0,0,0,0,0,64,749.4895917751877
152,550,1,0,0,0,0,57,600.4918661637811
153,4094,0,0,0,0,0,21,59875.71503929902
154,1513,1,0,0,0,1,64,1180.6393366905938
155,2699,0,0,0,0,0,76,1740.0756264256952
156,3543,1,0,0,0,0,43,217.67221889666072
157,3234,0,0,0,0,0,48,4812.4137623989845
158,2816,1,0,0,0,0,71,1995.66193851346
159,2614,0,0,0,0,0,57,323.36396898004705
160,3254,0,0,0,0,0,32,2387.1096486723486
161,409,0,0,0,0,0,69,682.747031905002
162,3771,1,0,0,0,0,65,1031.598776397619
163,191,1,1,0,0,0,35,499.2057034363699
164,3012,0,0,0,0,0,64,341.2818570011879
165,2891,0,0,0,0,0,41,439.526047565644
166,2182,0,0,1,0,0,44,550.9453578749614
167,230,0,0,0,0,0,49,541.5512397218511
168,221,1,0,0,0,0,39,917.8007833747064
169,3359,0,0,1,0,0,28,3065.0049666863956
170,3754,0,0,0,0,0,22,1959.0261945086274
171,1480,1,0,0,0,0,27,360.4108378596029
172,125,0,0,0,0,0,23,395.58296170572305
173,2810,0,0,0,0,0,31,154.89398386629267
174,2998,0,0,0,0,0,50,1002.0292921675872
175,2835,1,0,0,0,0,54,307.140533244326
176,2721,0,0,0,0,0,20,819.504630748893
177,3289,0,0,0,0,0,51,942.0063578701304
178,263,0,0,0,0,0,23,975.5215135330543
179,3775,0,0,0,0,0,37,1197.1675988898937
180,2776,0,1,0,0,0,88,25934.032583392225
181,301,1,0,0,0,0,39,1004.2071774103258
182,3893,0,1,0,0,0,72,49801.93485793748
183,4022,0,1,0,0,0,71,507.5451214421491
184,469,0,1,1,0,0,37,28134.956412951044
185,1869,0,0,0,0,0,59,944.7767123678599
186,1606,0,0,0,0,0,20,314.65667539415676
187,2820,0,0,0,0,0,43,3622.0498103852356
188,1910,0,1,0,0,0,26,1241.5346056307365
189,7,0,0,0,0,0,24,220.04566040300253
190,2610,0,0,0,0,0,43,732.7135416326902
191,4076,1,1,0,0,1,65,858.6435329384371
192,1575,1,0,0,0,0,44,783.9909901109862
193,1668,0,0,1,0,0,74,509.4111955918176
194,1038,0,0,0,0,0,41,335.84335135848175
195,2864,0,0,0,0,0,42,719.2501259502551
196,1611,1,0,0,0,0,30,431.1951187014127
197,490,0,1,1,0,0,51,848.3877031831059
198,537,0,0,0,0,0,28,1964.4743445595825
199,369,1,0,0,0,0,18,1336.1498528658844
200,2351,0,0,0,0,0,43,1674.8545925557305
201,1522,0,0,0,0,0,35,389.8840652853427
202,280,0,0,0,0,0,49,611.0117816685662
203,303,0,0,0,0,0,25,197.69713952758488
204,1099,1,0,0,0,0,52,743.2373006065226
205,391,0,0,0,0,0,20,507.407716537783
206,3850,0,0,0,0,0,54,322.0095038045273
207,3714,0,0,0,0,0,51,466.839540531121
208,2166,0,1,1,0,0,25,41928.18698063338
209,1120,0,0,0,0,0,32,12314.583378830226
210,3101,0,0,0,0,0,63,14294.040079793933
211,533,0,0,0,0,0,39,262.94981548599395
212,1842,1,1,0,0,1,55,585.0717776922121
213,2385,0,1,0,0,0,29,28532.39424105944
214,766,1,0,0,0,0,78,537.0959286000323
215,275,0,0,0,0,0,44,706.3037944358209
216,2751,1,0,0,0,0,31,1018.1130555949576
217,160,0,0,0,0,0,46,426.10685009911316
218,362,0,0,0,0,0,21,505.0428103629403
219,766,1,0,0,0,0,31,367.73466292801515
220,588,0,1,0,0,0,44,32014.33954639625
221,2088,1,0,0,0,0,25,179.02815809095824
222,404,0,0,0,0,0,29,1271.9004026851583
223,1512,0,1,0,0,0,59,1180.5230384043223
224,4067,0,0,0,0,0,53,1034.2497955899262
225,2292,0,0,0,0,0,55,1068.165028150679
226,4044,0,0,0,0,0,66,479.1042845810404
227,2842,1,0,0,0,0,75,785.1241042463777
228,1725,1,1,0,0,0,81,20788.991315682368
229,2044,1,0,0,0,0,64,877.8521961228345
230,1452,0,1,0,0,0,39,382.39225755345103
231,2673,0,1,1,0,0,73,1395.9625603782622
232,253,1,0,0,0,0,52,973.4988897020961
233,74,1,1,0,0,1,63,336.4339926944339
234,2637,0,1,1,0,0,21,34882.15788605302
235,2494,0,0,0,0,0,47,421.2119751663238
236,2782,1,0,0,0,0,77,725.490311542891
237,1829,0,0,0,0,0,38,463.5135584822388
238,2719,0,0,1,0,0,20,577.8507829526521
239,479,0,0,0,0,0,72,658.1823990663845
240,2763,0,1,1,0,0,64,26879.696403975762
241,2712,1,0,0,0,0,72,505.5049184411251
242,1941,1,0,0,0,0,79,153.24329256913228
243,3866,0,1,0,0,0,73,37236.32987852034
244,2181,0,0,0,0,0,33,394.281376184254
245,2781,0,0,0,0,0,69,8853.237331183582
246,1833,0,1,0,0,0,75,266.53533777927566
247,2728,0,0,0,0,0,30,421.135602396952
248,2875,0,1,0,0,0,53,785.1410915309464
249,2737,1,0,0,0,0,44,4534.64194913972
250,3254,0,1,1,0,0,86,10636.105453566384
251,2823,1,1,0,0,0,58,500.7640852504149
252,2776,1,0,0,1,0,47,12506.75819292317
253,64,0,0,0,0,0,71,229.0265412211807
254,1870,0,0,0,0,0,46,1184.9624024746277
255,246,1,0,0,0,0,80,186.0740593132798
256,3696,0,0,0,0,0,56,1265.633129643405
257,724,0,0,0,0,0,60,602.4775286479937
258,22,0,0,0,0,0,50,96.79807745378625
259,4013,0,0,0,0,0,28,1900.663980441182
260,3982,1,0,0,0,0,58,3341.866041996954
261,3723,1,0,0,0,0,27,82.70806474056135
262,3104,0,1,0,0,0,88,33764.92403855063
263,1575,0,0,0,0,0,20,2419.3814571033777
264,862,0,0,0,0,0,69,295.6043837469867
265,2239,0,0,0,0,0,48,4097.712852646339
266,448,0,0,0,0,0,66,1578.1026973822618
267,327,1,0,0,0,0,64,531.8277341520713
268,4087,0,0,0,0,0,25,576.4132170922055
269,802,0,0,0,0,0,42,216.54276608397763
270,2058,1,0,0,0,0,42,772.8303574335298
271,3412,0,0,0,0,0,39,122.54180486116026
272,1096,0,1,0,0,0,32,206.78707884413353
273,2284,1,0,0,0,0,37,346.2928725239901
274,3951,0,0,0,0,0,81,12845.736551888469
275,2058,0,0,0,0,0,56,715.4103973034265
276,2433,1,0,0,0,1,34,458.66266163966986
277,2779,0,1,0,0,0,78,56219.90391129462
278,223,0,0,0,0,0,39,2050.5318422200958
279,238,0,0,1,0,0,35,1289.6838066655755
280,2718,1,0,0,0,0,26,1017.2992935480967
281,12,0,0,0,0,0,63,882.752862045547
282,1446,0,1,1,0,0,66,824.6436933255276
283,273,1,0,0,0,0,34,1034.8529573397848
284,3029,0,1,0,0,0,51,2232.5832119429338
285,2724,0,0,0,0,0,47,248.23247797262573
286,263,0,1,0,0,0,39,444.9636045418927
287,870,1,0,0,0,0,75,487.4820872480578
288,30,0,0,1,0,0,44,350.69874815862136
289,3959,0,1,1,0,0,85,30404.679075069755
290,2799,0,0,0,0,0,65,43828.63284314462
291,4038,0,0,0,0,0,31,993.4800432327623
292,1599,0,0,0,0,0,41,246.66722673064524
293,3782,1,0,0,0,0,35,799.898857127109
294,4119,0,0,0,0,0,73,34671.408046267126
295,3909,0,0,0,0,0,69,481.2241617135442
296,3809,0,0,0,0,0,69,71283.23137493993
297,540,0,1,0,0,0,61,1058.7554181280072
298,2385,0,0,0,0,0,86,29306.977625102212
299,469,0,0,1,0,0,87,39827.06977469282
300,3383,1,0,0,0,0,38,397.25654757290937
301,1530,1,0,0,0,0,23,354.04058651385355
302,1925,0,0,1,0,0,39,283.00496070991625
303,565,0,0,0,0,0,75,799.1824378256782
304,107,0,0,0,0,0,68,154.748340378541
305,436,0,0,0,0,0,68,683.8413615172769
306,3345,0,0,0,0,0,70,712.6472126479603
307,2466,0,0,0,0,0,20,668.7366723718342
308,2632,1,0,0,0,0,33,35620.8393043805
309,196,0,1,0,0,0,42,810.8992721626953
310,2485,0,0,0,0,0,31,14406.383847314157
311,506,0,1,1,0,0,80,56958.37980173952
312,98,1,1,0,0,0,76,419.03437514090956
313,3897,0,0,0,0,0,75,1227.7453079317572
314,2722,0,0,0,0,0,31,352.9641290744987
315,2782,0,0,0,0,0,82,631.4216015800388
316,1966,1,0,0,0,0,64,131.69456647680406
317,3358,0,0,0,0,0,20,1203.65781981871
318,1565,0,0,0,0,0,38,258.05235967504274
319,468,0,0,0,0,0,64,35236.880596264724
320,2733,0,1,0,0,0,64,31187.29250271564
321,1581,0,0,0,0,0,48,610.7317014599854
322,2087,0,0,0,0,0,73,402.3341749050236
323,3038,0,0,0,0,0,38,1175.8342842725526
324,2482,0,0,0,0,0,31,231.17462885042417
325,2321,0,0,0,0,0,48,72400.8233955058
326,2571,0,0,0,0,0,39,226.69670224613137
327,233,0,0,0,0,0,36,2535.6339186766145
328,3714,1,0,0,0,0,35,967.8079033584127
329,641,0,1,1,0,0,82,41305.44865603226
330,730,0,1,1,0,0,69,1131.3072225036397
331,1092,1,0,0,0,0,74,193.58716576731797
332,412,1,0,0,0,0,77,764.5293638071901
333,3738,0,0,0,0,0,18,236.48566348602142
334,562,0,0,0,0,0,51,41987.984045961006
335,2196,1,0,0,0,0,61,581.6788775051427
336,1112,1,0,0,0,0,33,824.2247485487751
337,2627,0,1,0,0,0,29,477.51345825284295
338,4058,0,0,0,0,0,75,462.7748829432281
339,4027,0,0,0,0,0,47,1208.343666495766
340,212,0,0,0,0,0,31,94.8047104506444
341,2738,0,0,1,0,0,29,24371.03279520794
342,981,0,0,0,0,0,72,434.801499648177
343,766,1,0,0,0,0,52,486.12242503188855
344,4037,0,0,0,0,0,60,308.07483491536817
345,4133,0,0,0,0,0,34,472.7452945695275
346,456,1,0,0,0,0,66,907.0015658099388
347,280,0,0,0,0,0,66,589.5229825356549
348,2767,0,0,0,0,0,25,887.2754105700348
349,3885,1,0,0,0,0,22,741.1855423464292
350,909,0,0,0,0,0,30,107.68981347974638
351,730,1,0,0,0,0,58,407.4196199121643
352,671,0,0,0,0,0,55,33369.796739888276
353,3049,1,0,0,0,0,47,680.2562473644027
354,2725,0,0,0,0,0,52,295.3027061093461
355,3684,0,0,0,0,0,57,495.47443792860935
356,2054,1,0,0,0,0,68,329.1456609710741
357,2542,0,0,0,0,0,56,933.6754117537522
358,2759,0,0,0,0,0,67,24151.705169999106
359,3902,0,1,0,0,0,40,68305.4331203573
360,2005,1,0,0,0,0,64,364.4621368491578
361,3680,0,0,0,0,0,74,42259.152898509
362,4137,0,1,1,0,0,71,33737.24469874435
363,2756,0,0,0,0,0,26,4592.718297351179
364,1565,0,0,0,0,0,74,571.0543224017513
365,3935,0,0,0,0,0,44,1093.3283697918357
366,263,0,0,0,0,0,67,1600.9611913371666
367,2733,0,0,0,0,0,43,3832.0631514042298
368,1575,0,0,0,0,0,69,508.04297138637554
369,2587,0,0,0,0,0,56,4887.445104371913
370,2545,0,0,0,0,0,29,788.6701621614618
371,2442,1,1,0,0,0,43,659.2365058535396
372,279,1,0,0,0,0,39,410.11776770625335
373,2388,0,0,0,0,0,56,258.93276490859705
374,3800,0,0,0,0,0,30,116.66596770256972
375,684,0,0,0,0,0,45,4652.63061085669
376,2917,0,0,0,0,0,69,111484.60236045242
377,222,0,0,0,0,0,71,807.6994775267962
378,1657,1,0,0,0,0,18,513.746560517019
379,242,0,1,0,0,0,59,560.1931155383307
380,430,0,1,0,0,0,46,1125.624281724819
381,4006,0,0,0,0,0,70,793.5497549349593
382,3206,0,0,1,0,0,80,80256.1860727766
383,3131,0,0,0,0,0,35,267.19941883691075
384,246,1,1,0,0,1,75,129.21725793915792
385,1887,0,0,0,0,0,22,153.82865869307287
386,3932,0,1,0,0,0,85,34643.47466792157
387,12,0,0,0,0,0,54,1218.1915815870548
388,3781,0,0,0,0,0,48,497.21790338988075
389,4146,1,0,0,0,0,65,128.6336737578308
390,559,1,0,0,0,0,51,826.7362358823677
391,3171,0,0,0,0,0,58,1502.4218517280333
392,753,0,0,0,0,0,54,33959.465200077015
393,3012,0,1,0,0,0,68,654.7859703124387
394,387,0,0,0,0,0,48,673.4107110541992
395,2727,1,0,0,0,0,48,1348.7266574860387
396,13,1,1,0,0,0,39,369.68232324887407
397,4063,1,0,0,0,0,36,1012.5019877543505
398,69,1,0,0,0,0,20,874.3694992789998
399,3291,1,1,0,0,1,55,14898.726889319656
400,2715,0,0,0,0,0,62,43293.827513063196
401,2433,0,0,0,0,0,56,728.8301626457524
402,3963,1,0,0,0,0,48,1011.0085378851306
403,246,0,0,1,0,0,25,2944.0552570135264
404,1522,0,0,0,0,0,33,420.10767163130697
405,1559,0,0,0,0,0,37,1617.5268117429925
406,1110,0,0,0,0,0,36,508.20098344000667
407,1561,1,0,0,0,0,52,691.1014939043819
408,252,0,0,0,0,0,78,339.88403070909897
409,751,1,0,0,0,0,77,1492.3359154371874
410,2327,0,1,0,0,0,42,44273.27698657471
411,2727,1,0,0,0,0,27,978.3707561119654
412,1147,0,0,0,0,0,68,21516.729223751227
413,1747,0,1,0,0,0,73,30583.393405532413
414,1552,1,0,0,0,0,49,200.17558148001973
415,3070,0,0,0,0,0,37,692.6783918883909
416,31,0,0,0,0,0,51,246.6469851520151
417,2733,0,0,0,0,0,30,618.7227448114969
418,2716,0,0,0,0,0,35,1511.455030948757
419,132,1,0,0,0,0,39,1208.209828667457
420,310,1,0,0,0,0,59,249.7995321828734
421,1477,1,0,0,0,0,72,270.9112497975969
422,730,0,0,0,0,0,52,1231.6273116853665
423,2808,0,0,0,0,0,31,610.7977142774749
424,682,0,0,0,0,0,58,501.5524773568139
425,97,1,0,0,0,1,68,65.89428854994922
426,3770,0,0,0,0,0,28,1117.27976335158
427,848,0,1,1,0,0,43,41663.14225266849
428,3783,1,0,0,0,0,42,568.0994837323345
429,468,1,1,0,0,0,81,1211.7828947553417
430,1095,0,0,0,0,0,65,320.8235438582858
431,723,0,0,0,0,0,36,218.9756435086527
432,716,1,1,0,0,0,41,32812.13366192774
433,1438,1,0,0,0,0,48,690.8513729092755
434,2729,1,0,0,0,0,46,706.8965452058957
435,2716,0,0,0,0,0,33,413.7032409594889
436,108,0,0,0,0,0,28,294.74682441207324
437,425,0,0,1,0,0,68,2815.655854510392
438,3378,0,0,0,0,0,42,203.14010623242555
439,1138,1,0,0,0,0,21,573.1736032385242
440,855,0,0,0,0,0,66,244.41999479475876
441,3753,0,1,1,0,0,20,26230.733094475883
442,662,0,0,0,0,0,76,636.4932309570255
443,98,0,0,0,0,0,19,484.1204502494319
444,21,1,0,0,0,0,80,334.29372230833235
445,235,0,0,0,0,0,27,1234.5001367977377
446,277,1,0,0,0,0,33,744.5673367366262
447,2766,0,0,0,0,0,33,804.0292869767516
448,3017,0,0,0,0,0,28,712.9091364354401
449,2540,0,1,0,0,0,62,6711.926632976628
450,3290,1,0,0,0,1,24,21543.783527402527
451,1829,1,0,0,0,0,26,143.16154824799742
452,2729,0,0,0,0,0,35,298.0890659266067
453,555,0,0,0,0,0,55,103.58768705603956
454,1976,0,0,0,0,0,75,551.1371199433145
455,470,0,0,0,0,0,29,860.5611930684718
456,71,0,0,0,0,0,24,471.9452920425331
457,717,0,0,1,0,0,70,42091.55863974094
458,47,0,0,0,0,0,43,262.7129279702879
459,279,1,0,0,0,0,34,657.6824444884534
460,4055,1,1,0,0,0,41,154.65941531298353
461,3438,1,0,0,0,0,83,230.42263036541254
462,10,1,0,0,0,0,28,589.2478873595289
463,256,0,0,0,0,0,74,187.8939611996805
464,21,0,0,0,0,0,42,289.65621825672895
465,21,1,0,0,0,0,30,557.0153634995635
466,2441,1,0,0,0,0,35,40.425586945120436
467,4094,0,1,0,0,0,46,32243.02536160891
468,845,0,0,1,0,0,70,657.3202314068924
469,2606,1,0,0,0,1,34,3477.3483153915363
470,2723,1,0,0,0,0,28,670.3430342741553
471,3996,0,1,0,0,0,41,9197.565407176571
472,1489,0,0,0,0,0,37,6177.008911189279
473,3757,0,0,1,0,0,55,26747.55958718392
474,246,0,0,0,0,0,35,414.98924895627584
475,4031,0,0,0,0,0,77,262.2171300406036
476,381,0,0,0,0,0,49,544.216995640118
477,4022,0,0,0,0,0,82,7486.137858248628
478,1781,1,0,0,0,0,23,181.8284464654049
479,578,0,0,0,0,0,50,30151.457494603517
480,413,0,0,0,0,0,63,303.9374058558703
481,1572,0,0,0,0,0,76,506.15982158666924
482,243,0,0,0,0,0,56,299.95294760178314
483,1054,0,0,0,0,0,47,736.5953530216658
484,2722,0,1,0,0,0,41,1077.7081832361048
485,679,0,1,1,0,0,29,30598.533323083604
486,3999,0,0,0,0,0,54,9870.802996430859
487,2768,0,0,0,0,0,40,725.6231120247797
488,3970,1,0,0,0,0,64,457.21437725606893
489,4147,0,0,0,0,0,39,2792.480282086813
490,24,0,0,0,0,0,39,157.4459012567991
491,187,0,0,0,0,0,57,1163.8822809392361
492,1127,1,0,0,0,0,25,492.7903137433736
493,672,0,0,0,0,0,31,477.86470241533124
494,2730,0,1,0,0,0,53,601.2243492114615
495,1935,0,0,0,0,0,66,459.4991597534253
496,427,0,1,0,0,0,69,40497.574579254855
497,156,0,0,0,0,0,21,569.4306760523568
498,1572,1,0,0,0,0,61,1000.522898482928
499,278,0,0,0,0,0,55,774.0098646166881
500,2540,0,0,0,0,0,33,41776.92736720435
501,4094,0,1,0,0,0,82,28341.92064627178
502,4081,0,0,0,0,0,58,163.444999266031
503,1581,0,0,0,0,0,56,1210.7748186879041
504,3726,0,0,0,0,0,49,559.0985432554171
505,3915,0,0,0,0,0,63,195.91630574313427
506,18,0,1,1,0,0,69,1356.968675274558
507,3948,0,0,0,0,0,53,595.884412083927
508,2267,0,0,0,0,0,72,1026.2516719047555
509,3534,0,1,1,0,0,83,17834.493268880477
510,177,0,1,0,0,0,71,666.9795118789317
511,530,1,0,0,0,0,47,520.5808707004678
512,101,0,0,0,0,0,68,327.4074830374057
513,2296,0,1,0,0,0,30,8967.50565289474
514,4130,0,0,0,0,0,65,373.80399392970253
515,644,0,0,0,0,0,68,198.06958452219766
516,2628,0,0,1,0,0,40,25146.66849074964
517,298,1,1,0,0,1,68,693.8813867537161
518,2821,0,1,1,0,0,60,32192.88628828653
519,4065,0,1,0,0,0,37,1037.6588560553384
520,1194,0,1,0,0,0,55,344.87986580449126
521,129,0,0,0,0,0,37,479.7450151114566
522,436,0,1,0,0,0,28,657.624168444109
523,1578,1,0,0,0,0,42,415.14209115350263
524,4089,0,0,1,0,0,71,3474.56340214453
525,2707,0,0,1,0,0,70,47991.835997389775
526,3935,1,0,0,0,0,59,762.8418505771067
527,1767,0,0,0,0,0,38,1199.7241375629303
528,2722,0,0,0,0,0,58,746.6952409208776
529,3336,0,1,0,0,0,73,332.86903341886045
530,760,0,0,0,0,0,25,386.0721683401262
531,2063,0,0,0,0,0,29,3752.580768254171
532,4055,0,0,0,0,0,26,460.58750802102276
533,1864,0,0,0,0,0,66,204.73827641512366
534,1938,1,0,0,0,0,65,271.65310669218593
535,578,0,1,1,0,0,72,24264.98214060929
536,1554,0,0,0,0,0,35,246.8944398017348
537,1669,0,1,1,0,0,38,22705.60621935482
538,2058,0,0,0,0,0,41,78.13058025145727
539,90,1,0,0,0,0,81,239.1096662166261
540,2840,0,0,0,0,0,64,727.899746540322
541,292,0,0,0,0,0,78,1758.5097952975364
542,805,0,1,1,0,0,82,25070.040973692703
543,729,1,0,0,0,0,66,10903.960194912484
544,1575,0,0,0,0,0,27,680.5109414071891
545,766,1,0,0,0,0,53,773.4001624764694
546,413,0,0,0,0,0,35,752.0945453055581
547,2691,0,1,0,0,0,85,2304.7097867204434
548,30,0,0,0,0,0,65,116.53042332467501
549,362,0,0,0,0,0,55,501.49608383245834
550,816,0,0,0,0,0,44,155.71825678725708
551,2474,0,1,1,0,0,53,16999.180944184922
552,2510,0,1,1,0,0,39,33222.13058399154
553,55,0,0,0,0,0,82,133.4309772044418
554,2733,0,1,1,0,0,21,24445.153472799535
555,1767,0,1,0,0,0,44,14826.124168907012
556,1753,0,0,0,0,0,46,486.59576817586844
557,2562,0,0,0,0,0,35,961.7122736030752
558,775,1,0,0,0,0,67,444.929106707181
559,4047,0,0,0,0,0,31,2003.801853864747
560,136,1,0,0,0,0,62,1230.9682105272868
561,204,0,1,0,0,0,42,1561.1480364484696
562,243,0,0,0,0,0,31,648.2630473620146
